subject_idx,gain_val,loss_val,choice_val,auc_val,RT,x-flip
0,4.0,7.5,0,2.7393,1233.0,9.0
0,9.0,6.75,0,-0.0602,812.0,8.0
0,14.0,3.5,1,0.0869,1186.0,4.0
0,5.0,8.125,0,2.5561,1232.0,5.0
0,5.0,10.0,0,-0.0033,780.0,3.0
0,2.0,3.5,0,0.094,1279.0,6.0
0,14.0,5.25,0,0.011,1513.0,8.0
0,6.0,5.25,0,0.0358,1669.0,7.0
0,4.0,6.0,0,0.1993,2403.0,14.0
0,6.0,6.75,0,0.0807,921.0,9.0
0,9.0,5.625,1,3.0225,1372.0,15.0
0,4.0,4.0,0,-0.0381,796.0,10.0
0,15.0,18.75,0,0.111,842.0,4.0
0,2.0,1.25,1,2.7065,1311.0,7.0
0,8.0,8.0,0,-0.276,920.0,4.0
0,12.0,13.5,0,0.0752,1170.0,2.0
1,14.0,7.0,1,0.1483,1389.0,3.0
1,5.0,8.125,0,3.3877,2464.0,10.0
1,9.0,6.75,1,-0.1023,1482.0,10.0
1,16.0,24.0,0,1.4355,2075.0,10.0
1,10.0,8.75,1,3.9647,2028.0,10.0
1,12.0,21.0,0,-0.007,1404.0,8.0
1,9.0,14.625,0,-0.042,1233.0,8.0
1,5.0,4.375,1,2.0246,1170.0,7.0
1,12.0,19.5,0,0.0202,1092.0,4.0
1,16.0,8.0,0,0.0851,1342.0,6.0
1,6.0,10.5,0,0.0005,843.0,10.0
1,5.0,9.375,0,-0.0292,749.0,7.0
1,15.0,15.0,0,0.082,1248.0,4.0
1,12.0,9.0,0,-0.1387,1857.0,6.0
1,12.0,13.5,0,0.013,1357.0,4.0
1,10.0,20.0,0,5.098,1904.0,6.0
1,2.0,4.0,0,0.2124,874.0,5.0
1,15.0,16.875,0,-0.063,811.0,6.0
1,5.0,10.0,0,-0.0013,687.0,8.0
1,2.0,2.25,0,-0.1203,718.0,6.0
1,15.0,18.75,0,0.1966,874.0,6.0
1,15.0,24.375,0,0.1034,827.0,4.0
1,2.0,3.75,0,-0.0387,827.0,16.0
1,2.0,3.25,0,0.052,904.0,6.0
1,6.0,12.0,0,0.0624,780.0,4.0
1,2.0,3.0,0,0.0125,718.0,8.0
1,9.0,16.875,0,-0.0406,843.0,4.0
1,12.0,7.5,0,0.0034,842.0,2.0
1,15.0,13.125,0,0.0062,780.0,4.0
1,5.0,3.75,0,0.117,1045.0,10.0
1,6.0,5.25,0,-0.4215,1123.0,10.0
1,4.0,2.5,0,0.0684,1014.0,7.0
1,16.0,20.0,0,0.0549,609.0,6.0
1,8.0,8.0,0,-0.041,624.0,2.0
1,8.0,3.0,0,-0.1037,515.0,4.0
1,6.0,2.25,0,0.1829,718.0,6.0
1,2.0,2.5,0,0.0556,686.0,6.0
1,4.0,6.0,0,0.1057,780.0,6.0
1,4.0,3.0,0,0.0902,702.0,5.0
1,6.0,3.75,1,2.7668,1482.0,9.0
1,6.0,3.0,0,4.3104,1311.0,12.0
1,4.0,2.0,0,-0.1889,1981.0,13.0
1,6.0,6.0,0,2.836,1186.0,8.0
1,10.0,18.75,0,-0.0411,530.0,6.0
1,4.0,7.0,0,-0.0777,515.0,3.0
1,10.0,10.0,0,-0.0786,499.0,1.0
1,6.0,11.25,0,-0.0143,1076.0,8.0
1,16.0,4.0,0,-0.091,827.0,5.0
1,6.0,9.75,0,0.0207,624.0,6.0
1,15.0,7.5,0,-0.008,500.0,10.0
1,6.0,8.25,0,-0.1133,593.0,2.0
1,14.0,14.0,0,0.0125,530.0,4.0
1,10.0,13.75,0,0.107,499.0,4.0
1,10.0,11.25,0,-0.0358,687.0,5.0
1,8.0,13.0,0,-0.0302,546.0,2.0
1,2.0,1.75,0,-0.1002,577.0,1.0
1,6.0,4.5,0,-0.0065,390.0,2.0
1,9.0,7.875,0,-0.0339,437.0,3.0
1,8.0,16.0,0,-0.0265,453.0,10.0
1,15.0,9.375,0,0.0913,671.0,4.0
1,16.0,22.0,0,0.0128,639.0,4.0
1,5.0,5.0,0,-0.0193,609.0,3.0
1,2.0,3.5,0,2.0235,2043.0,6.0
1,4.0,6.5,0,1.2839,1279.0,10.0
1,8.0,5.0,1,4.8571,1513.0,9.0
1,15.0,11.25,0,0.0018,951.0,8.0
1,14.0,24.5,0,0.0026,1450.0,12.0
1,10.0,2.5,0,0.039,904.0,7.0
1,15.0,22.5,0,2.499,1342.0,5.0
1,10.0,6.25,0,3.4303,1513.0,12.0
1,9.0,10.125,0,-0.1234,2122.0,6.0
1,4.0,3.5,0,-0.1407,561.0,2.0
1,14.0,15.75,0,3.6649,1046.0,10.0
1,14.0,22.75,0,0.0041,796.0,12.0
1,4.0,7.5,0,-0.0302,795.0,8.0
1,9.0,5.625,0,-0.3527,812.0,4.0
1,2.0,0.75,1,0.432,1513.0,7.0
1,16.0,6.0,1,4.413,1825.0,11.0
1,5.0,6.25,0,-0.0152,670.0,3.0
1,10.0,16.25,0,-0.0279,468.0,3.0
1,15.0,20.625,0,0.0228,795.0,8.0
1,6.0,6.75,0,-0.0874,484.0,2.0
